Date,demand
2016-01-01,160314.292877
2016-01-02,172989.08384999997
2016-01-03,170082.83843099998
2016-01-04,192229.777034
2016-01-05,195402.659639
2016-01-06,193849.89004
2016-01-07,194305.13510900002
2016-01-08,195085.832505
2016-01-09,184749.838486
2016-01-10,169707.867603
2016-01-11,192979.725473
2016-01-12,193677.694781
2016-01-13,195414.072279
2016-01-14,197857.173012
2016-01-15,197412.65103799998
2016-01-16,191032.83929399998
2016-01-17,176978.646392
2016-01-18,200371.512118
2016-01-19,199618.273474
2016-01-20,195912.032549
2016-01-21,192908.14660300003
2016-01-22,198280.523152
2016-01-23,184238.776116
2016-01-24,168315.59136999998
2016-01-25,190233.632185
2016-01-26,190395.58103899998
2016-01-27,186174.261352
2016-01-28,187723.70044800002
2016-01-29,189400.491374
2016-01-30,183909.61359300002
2016-01-31,175606.81545400003
2016-02-01,194484.302646
2016-02-02,191773.34921
2016-02-03,190118.44737200002
2016-02-04,185115.145499
2016-02-05,192672.60891200003
2016-02-06,180934.699113
2016-02-07,165014.58013000002
2016-02-08,188097.961314
2016-02-09,197920.80639699998
2016-02-10,197614.903249
2016-02-11,198004.491858
2016-02-12,197221.728304
2016-02-13,186828.302546
2016-02-14,175308.02238900002
2016-02-15,202457.238712
2016-02-16,202266.80397100002
2016-02-17,199491.91116199997
2016-02-18,197724.35035499997
2016-02-19,195106.69497
2016-02-20,185886.08977599998
2016-02-21,177273.379366
2016-02-22,192498.855926
2016-02-23,185813.973856
2016-02-24,189655.689382
2016-02-25,194276.92363000003
2016-02-26,204556.59839399997
2016-02-27,187101.986378
2016-02-28,174620.257763
2016-02-29,194693.577766
2016-03-01,194847.542116
2016-03-02,194346.41416299998
2016-03-03,198531.646117
2016-03-04,200970.603206
2016-03-05,190586.983895
2016-03-06,175608.243868
2016-03-07,194433.74311599997
2016-03-08,200145.354317
2016-03-09,199155.559199
2016-03-10,193015.38892
2016-03-11,193214.73503
2016-03-12,188889.144634
2016-03-13,179901.897383
2016-03-14,190248.38453799998
2016-03-15,195131.649759
2016-03-16,199219.546761
2016-03-17,202969.39191399998
2016-03-18,203270.09546200003
2016-03-19,187365.647667
2016-03-20,174958.495304
2016-03-21,198825.884514
2016-03-22,196397.533613
2016-03-23,192549.92317999998
2016-03-24,190794.071678
2016-03-25,175591.576374
2016-03-26,172978.89675
2016-03-27,174770.20493300003
2016-03-28,195786.799016
2016-03-29,193273.913849
2016-03-30,196322.725741
2016-03-31,199285.72413
2016-04-01,188143.137884
2016-04-02,175719.48883999998
2016-04-03,156965.688
2016-04-04,175254.154171
2016-04-05,183896.898752
2016-04-06,185848.237567
2016-04-07,182989.717408
2016-04-08,180834.40588700003
2016-04-09,175375.498449
2016-04-10,166649.201394
2016-04-11,184971.38974999997
2016-04-12,189146.764747
2016-04-13,186812.688225
2016-04-14,188465.169277
2016-04-15,191629.366549
2016-04-16,174985.1243261
2016-04-17,165410.95899100002
2016-04-18,181701.22150700004
2016-04-19,186581.64614899998
2016-04-20,183919.034373
2016-04-21,182276.165616784
2016-04-22,191686.375970404
2016-04-23,181597.047082672
2016-04-24,171094.88059469202
2016-04-25,189545.273908052
2016-04-26,191344.680608776
2016-04-27,192102.187455468
2016-04-28,193353.44599672803
2016-04-29,193795.61863178798
2016-04-30,181339.153232584
2016-05-01,169325.55206416798
2016-05-02,188696.28927413997
2016-05-03,194474.27663356997
2016-05-04,192903.002411109
2016-05-05,193061.24341361198
2016-05-06,190859.23580274498
2016-05-07,181085.672818196
2016-05-08,169114.35841605102
2016-05-09,188466.415726532
2016-05-10,191925.20607403002
2016-05-11,190738.6512258955
2016-05-12,189412.5349220686
2016-05-13,186862.6430763269
2016-05-14,180976.39518329885
2016-05-15,163115.62716484332
2016-05-16,178540.055148491
2016-05-17,181240.49839983002
2016-05-18,184181.4155538162
2016-05-19,183473.77415425502
2016-05-20,182392.237332563
2016-05-21,169809.46150892798
2016-05-22,166068.44878570302
2016-05-23,186979.47019139098
2016-05-24,192402.23062473693
2016-05-25,183713.03223840392
2016-05-26,186358.98237115
2016-05-27,189314.45748999598
2016-05-28,179437.1446792723
2016-05-29,173357.601432611
2016-05-30,186406.19368806
2016-05-31,187051.53903859822
2016-06-01,191361.054889697
2016-06-02,191871.7632263378
2016-06-03,195642.27051876878
2016-06-04,179262.794046844
2016-06-05,177871.113474202
2016-06-06,187806.413992349
2016-06-07,189429.9312617498
2016-06-08,184029.316383305
2016-06-09,190623.20648837305
2016-06-10,187645.18971704092
2016-06-11,180442.2701795121
2016-06-12,167602.88757247617
2016-06-13,185435.695101949
2016-06-14,189339.69851224433
2016-06-15,187195.481090776
2016-06-16,185386.054574179
2016-06-17,187311.8963244629
2016-06-18,174390.24703206233
2016-06-19,166692.184858462
2016-06-20,184993.4527916272
2016-06-21,182556.001594426
2016-06-22,181233.02659639
2016-06-23,182020.220953569
2016-06-24,176751.916567073
2016-06-25,170539.99167853998
2016-06-26,159445.095496808
2016-06-27,166334.002779437
2016-06-28,178862.67275413498
2016-06-29,183358.49119416997
2016-06-30,191382.030315489
2016-07-01,182955.58631063698
2016-07-02,175774.48329273
2016-07-03,171570.101561621
2016-07-04,181571.48101327603
2016-07-05,180194.119158432
2016-07-06,176664.976824981
2016-07-07,176384.872854413
2016-07-08,178560.27665829402
2016-07-09,171701.2201329137
2016-07-10,168562.6772706263
2016-07-11,180025.507120079
2016-07-12,188166.44792978402
2016-07-13,178507.235671519
2016-07-14,180614.477486383
2016-07-15,188475.103348739
2016-07-16,168909.90229714202
2016-07-17,172276.574839513
2016-07-18,190179.50735872303
2016-07-19,191843.94310602802
2016-07-20,187514.29406537197
2016-07-21,186669.5000189636
2016-07-22,180076.306590077
2016-07-23,174545.098584916
2016-07-24,175854.713763521
2016-07-25,193680.51701621388
2016-07-26,195394.49623422022
2016-07-27,196707.98718282112
2016-07-28,199871.6982808577
2016-07-29,195539.90710295358
2016-07-30,184382.62727912853
2016-07-31,171830.10465758
2016-08-01,196812.87083944998
2016-08-02,193206.908257245
2016-08-03,188057.95525166648
2016-08-04,187040.88459942618
2016-08-05,193311.68219832916
2016-08-06,184568.95769900602
2016-08-07,176039.0185520239
2016-08-08,194812.96106954137
2016-08-09,192785.9145798763
2016-08-10,194295.01371645328
2016-08-11,193781.091201192
2016-08-12,195396.68874403767
2016-08-13,184140.09245464898
2016-08-14,164037.6987332073
2016-08-15,174722.1113619498
2016-08-16,187716.28701044878
2016-08-17,188016.87719764002
2016-08-18,190108.1383757036
2016-08-19,196143.8721012935
2016-08-20,185826.4745888064
2016-08-21,174124.0771688726
2016-08-22,192601.3241944551
2016-08-23,198968.97060040044
2016-08-24,196384.8640229106
2016-08-25,195639.3687456481
2016-08-26,196318.043043589
2016-08-27,189744.0522690391
2016-08-28,175201.56319685798
2016-08-29,192475.838141987
2016-08-30,193910.386915889
2016-08-31,194091.417829778
2016-09-01,192213.16023272
2016-09-02,193702.38894860703
2016-09-03,181999.68633711853
2016-09-04,168433.661933993
2016-09-05,189541.374007198
2016-09-06,193052.982733434
2016-09-07,190249.90287224602
2016-09-08,187012.99930773402
2016-09-09,186888.557164339
2016-09-10,175468.20079303402
2016-09-11,167354.906289102
2016-09-12,188088.7197450178
2016-09-13,193662.486402949
2016-09-14,192411.284588165
2016-09-15,190942.93928423402
2016-09-16,186480.84585237742
2016-09-17,175680.76996123727
2016-09-18,158973.20404245
2016-09-19,160640.11417739402
2016-09-20,183748.8407310704
2016-09-21,189091.65781841017
2016-09-22,187598.14062732662
2016-09-23,190457.83589688432
2016-09-24,178515.85700456236
2016-09-25,166325.10256432398
2016-09-26,185428.216172755
2016-09-27,188352.6910970637
2016-09-28,189454.6333471988
2016-09-29,188739.989138543
2016-09-30,188694.39626611822
2016-10-01,179676.4518325703
2016-10-02,170385.491548352
2016-10-03,190428.382579019
2016-10-04,191806.5846984846
2016-10-05,188779.41821240098
2016-10-06,189927.17823314905
2016-10-07,192125.37062423
2016-10-08,179650.91693517202
2016-10-09,163797.391653554
2016-10-10,170411.69488832
2016-10-11,195191.958613756
2016-10-12,191862.924178363
2016-10-13,193540.84381933298
2016-10-14,195316.98146515802
2016-10-15,181823.11927784028
2016-10-16,170639.391378046
2016-10-17,187170.4132308764
2016-10-18,185358.2070298273
2016-10-19,185735.865270512
2016-10-20,183603.6919506105
2016-10-21,182119.960490521
2016-10-22,169904.63247652337
2016-10-23,157769.28920161602
2016-10-24,180827.8990222844
2016-10-25,184438.68147672148
2016-10-26,188434.9742810852
2016-10-27,192804.97762077412
2016-10-28,190363.93852754898
2016-10-29,178929.558455045
2016-10-30,168523.28517113498
2016-10-31,170818.44640258403
2016-11-01,169620.50941120432
2016-11-02,191897.8935040847
2016-11-03,196086.38914843358
2016-11-04,200208.41631874102
2016-11-05,186896.795270155
2016-11-06,171526.23459605727
2016-11-07,198508.70147917897
2016-11-08,199159.84149755997
2016-11-09,194094.596362592
2016-11-10,200343.391665334
2016-11-11,198014.797631423
2016-11-12,186666.5604339529
2016-11-13,169837.71770898098
2016-11-14,197614.33268965094
2016-11-15,201814.11857003998
2016-11-16,198327.93427701606
2016-11-17,198945.013011339
2016-11-18,202832.41309662888
2016-11-19,189899.57537161896
2016-11-20,174900.85036392428
2016-11-21,197043.14254702657
2016-11-22,198537.5863965791
2016-11-23,195780.8756224733
2016-11-24,198407.61186966198
2016-11-25,199123.4490501192
2016-11-26,185900.25160131033
2016-11-27,171541.3178713673
2016-11-28,194583.80442670838
2016-11-29,200647.11591878376
2016-11-30,198368.30500683372
2016-12-01,195858.30511718267
2016-12-02,202103.0968544686
2016-12-03,190669.6841788003
2016-12-04,174071.17885895018
2016-12-05,194917.69537223224
2016-12-06,196072.14059868897
2016-12-07,181248.95187806722
2016-12-08,181928.32267277042
2016-12-09,189389.975722646
2016-12-10,181322.2879181763
2016-12-11,171544.7971676292
2016-12-12,198349.678729746
2016-12-13,202584.9743705113
2016-12-14,201954.4727142688
2016-12-15,201853.08959394696
2016-12-16,198935.73694062748
2016-12-17,188023.9392212552
2016-12-18,176117.1765665143
2016-12-19,202454.87556103687
2016-12-20,199036.69649337966
2016-12-21,195072.83763492884
2016-12-22,197818.33770553482
2016-12-23,199476.22454859054
2016-12-24,183973.526644631
2016-12-25,164352.865077423
2016-12-26,186321.67731169282
2016-12-27,197881.3431971424
2016-12-28,202291.71789707706
2016-12-29,198862.49361888226
2016-12-30,196560.19996200458
2016-12-31,178715.31529583473
2017-01-01,194050.593057539
2017-01-02,174235.517641084
2017-01-03,197419.24648325113
2017-01-04,199122.4782292917
2017-01-05,202817.03845672111
2017-01-06,201319.01739744315
2017-01-07,189057.53169819503
2017-01-08,176284.75690597
2017-01-09,193762.050908787
2017-01-10,200248.322619084
2017-01-11,203612.064850898
2017-01-12,202579.98030182597
2017-01-13,202974.509501414
2017-01-14,188316.37236388001
2017-01-15,173670.749682339
2017-01-16,198309.19192825112
2017-01-17,199254.999170157
2017-01-18,198449.319712818
2017-01-19,200921.80922398
2017-01-20,205757.55891682603
2017-01-21,190072.25789459498
2017-01-22,174508.29674191203
2017-01-23,196876.147640937
2017-01-24,206901.469361506
2017-01-25,207626.620639323
2017-01-26,205065.09263974402
2017-01-27,205545.39026030002
2017-01-28,196492.601209024
2017-01-29,186461.48443082802
2017-01-30,207669.41366592998
2017-01-31,210049.232635668
2017-02-01,206369.17439905903
2017-02-02,204803.91627375202
2017-02-03,204375.804418465
2017-02-04,188358.91264070797
2017-02-05,179822.474088309
2017-02-06,200573.19264803902
