Date,Almacenamiento_Bateria,BioGas,Carbon,Cogeneracion,Diesel,Eolica,Fuel Oil,Gas_Natural,Geotermica,PetCoke,Biomasa,Hidraulica,Solar
2016-01-01,20.7257,613.0,78127.0381,329.55,2703.309,4795.964826,0.0,10909.3,0.0,1357.0,2632.4,60642.2412,5839.748751
2016-01-02,15.6891,715.1,80404.5651,339.23,2706.7,3537.218453,0.0,8446.4,0.0,1321.0,5462.8,74616.0493,5984.8509970000005
2016-01-03,20.7672,697.8,83436.7898,341.1,2719.7,3100.492564,0.0,3590.4,0.0,1327.0,5734.1,74182.5306,5772.625467
2016-01-04,23.7735,723.8,85999.7995,342.72,4240.508,4072.380775,0.0,9018.7,0.0,1354.0,5598.7,87466.1681,5672.728659
2016-01-05,5.783399999999999,697.7,82014.2171,336.0,3231.91,2962.802546,52.5,15380.9,0.0,1366.0,5763.4,89947.4507,5097.289293
2016-01-06,11.04,353.40000000000003,79558.9803,305.2,4285.53,2941.984144,0.0,19696.6,0.0,1339.0,5836.7,85933.3163,5719.009296
2016-01-07,21.589,582.3,80989.1258,89.75,4098.9579,2099.99881,20.1,27801.2,0.0,1277.0,5676.5,77992.7656,5422.044899
2016-01-08,16.9557,699.0,83973.649,0.0,5738.2002,2999.233934,0.0,29835.9,0.0,1247.0,5657.2,72530.8493,5746.200271
2016-01-09,12.343300000000001,669.4,83060.6812,0.0,5903.241,6810.6796190000005,0.0,19934.1,0.0,1296.0,6395.8,69156.5825,5787.795167
2016-01-10,10.281600000000001,691.7,78792.997,0.0,6195.293000000001,5181.373531,0.0,17832.3,0.0,1310.0,5928.2,61989.7439,5911.453172
2016-01-11,15.8475,680.3,81662.2504,0.0,2864.89,4971.314025,0.0,26831.9,0.0,1306.0,5942.5,73870.2951,5643.965948
2016-01-12,10.0942,668.1,80205.8057,0.0,2304.318,7745.556958,0.0,27440.0,0.0,1295.0,5805.6,72924.8617,5361.470423
2016-01-13,11.7739,576.3,80785.8052,0.0,1044.966,6404.025629,0.0,26492.5,0.0,1284.0,5416.9,76148.4606,5583.28085
2016-01-14,18.4154,631.1,85653.3228,0.0,1320.292,6915.605605,0.0,26651.2,0.0,1286.0,5444.4,72869.2323,5767.812307
2016-01-15,14.0577,639.1,87500.1199,0.0,1435.615,10292.013067,0.0,24242.9,0.0,1270.0,4798.7,69450.3964,5927.221671
2016-01-16,15.1275,545.2,85001.5327,0.0,390.684,11778.848477,0.0,23956.9,0.0,1137.0,4419.7,64433.1546,5862.403517
2016-01-17,9.4908,342.4,81548.2322,0.0,2115.611,6276.1865530000005,0.0,24749.5,0.0,1288.0,4902.4,58654.5226,5750.205039
2016-01-18,16.314999999999998,458.4,85359.1149,0.0,1548.412,2579.66176,0.0,29262.500919,0.0,1278.0,4351.0,77656.4,5513.834539
2016-01-19,15.400500000000001,470.0,84822.6932,0.0,6117.369,3557.136588,60.1,33078.9,0.0,1275.0,4473.0,72278.436,5881.107686
2016-01-20,15.2648,444.4,83929.1517,0.0,10448.3465,2285.452177,65.2,33441.5,0.0,1273.0,5691.5,70206.1003,6049.828372
2016-01-21,6.2756,486.2,80894.3358,0.0,12472.44,1869.295934,0.0,33151.85,0.0,1260.0,5760.6,70959.0926,6033.572269
2016-01-22,4.5587,443.2,80758.72839999999,0.0,6307.45,2619.580083,0.0,36712.97,0.0,1284.0,5906.4,71912.4969,6276.747769
2016-01-23,7.0515,494.90000000000003,75652.6702,0.0,5296.67,2034.553277,0.0,31281.4,0.0,1313.0,6273.3,68993.6905,6276.462139
2016-01-24,12.7329,483.90000000000003,73564.2965,0.0,3493.611,6897.835981,0.0,22237.0,0.0,1313.0,6102.8,59839.9814,5776.477489
2016-01-25,5.814,493.40000000000003,75080.558,0.0,6590.98,6422.730883,0.0,30817.6,0.0,1315.0,5507.5,72324.5256,5588.217702
2016-01-26,9.8809,451.1,76605.329,0.0,4394.517,5713.882749,0.0,34570.71,0.0,1334.0,6539.4,67646.766,5858.89329
2016-01-27,10.3798,600.5,72927.0679,0.0,6018.652,7295.283225,0.0,34399.1,0.0,1288.0,6050.400000000001,65791.0996,5761.710627
2016-01-28,7.9315999999999995,591.2,75912.0919,0.0,6136.358,6846.528316,0.0,34209.1,0.0,1303.0,6271.0,64877.3505,5878.629732
2016-01-29,9.7689,585.0,79442.6345,0.0,6989.4938,10170.362299,0.0,32658.0,0.0,1299.0,6768.8,60893.8484,6235.646175
2016-01-30,6.4498,411.2,76670.4419,0.0,4551.59,7161.252879,0.0,32252.2,0.0,1301.0,6460.8,61988.9756,5836.743214
2016-01-31,10.005999999999998,584.4,74367.6131,0.6000000000000001,2256.79,3333.258317,0.0,26214.7,0.0,1312.0,6422.6,65847.8154,5843.428637
2016-02-01,15.831800000000001,580.9,77044.13560000001,0.0,5859.641,3160.658697,0.0,37082.9,0.0,1316.0,6770.8,70915.9048,6280.703549
2016-02-02,11.589,586.1,76586.249,0.0,7431.376,4022.905151,0.0,38118.6,0.0,1331.0,6516.2,66774.831,6270.764059
2016-02-03,13.402099999999999,581.9,78085.3212,0.0,5922.508,3965.105762,0.0,36283.425,0.0,1322.0,6338.6,65404.899600000004,6379.69581
2016-02-04,7.5618,340.2,71742.1359,0.0,10300.873,3670.410473,31.9,38864.0,0.0,843.0,6480.3,64585.1554,6253.443726
2016-02-05,5.3144,648.0,81610.025,67.3,7242.425,5195.13837,0.0,34602.0,0.0,1298.0,7498.5,64847.2301,6418.215442
2016-02-06,7.3214999999999995,545.8,84747.8203,297.03,5631.427,2740.36087,0.0,26572.7,0.0,1279.0,6944.7,60316.1956,6557.622343
2016-02-07,16.2512,614.8,79975.9018,380.43,4326.671,2849.6535049999998,0.0,23677.8,0.0,1313.0,7202.3,53155.2113,5356.013525
2016-02-08,7.623600000000001,588.4,83260.0587,383.59000000000003,3078.339,6423.976108,0.0,27465.4,0.0,1339.0,6808.6,64760.322,6188.204506
2016-02-09,8.2349,594.0,89853.9885,388.62,1601.256,2985.329914,0.0,31837.3,0.0,1301.0,6324.9,67115.5285,6128.659483
2016-02-10,12.6459,605.8,91546.2325,390.47,1613.203,4842.99671,0.0,31527.21,0.0,1317.0,6607.8,63457.9849,6240.479139
2016-02-11,12.4207,645.6,90349.6824,383.71999999999997,2652.151,5603.197779,0.0,32737.090112,0.0,1315.0,6769.9,63624.5223,5689.999267
2016-02-12,4.8684,544.0,88407.8402,380.29,3689.8834,8595.613181,0.0,33359.7,0.0,1329.0,6895.2,61904.7293,4953.845623
2016-02-13,0.3952,547.1,87022.3667,385.98,5170.25,9937.969787,0.0,26047.7,0.0,1331.0,6327.2,57686.784,6133.482059
2016-02-14,0.1265,505.40000000000003,84904.6688,355.7,5351.91,10133.870947,0.0,21171.1,0.0,1311.0,5677.0,53074.1093,6024.273342
2016-02-15,0.013999999999999999,562.3,91775.047,388.99,6082.89,5839.61203,0.0,30215.9,0.0,1291.0,5912.2,68398.3592,6228.320482
2016-02-16,0.013999999999999999,598.4,94356.5158,383.05,5551.358,4502.881704,0.0,34741.142034,0.0,1262.0,6367.6,62894.1581,5772.106333
2016-02-17,0.1189,583.7,90580.0843,383.82,5777.388,6505.161107,0.0,34200.8,0.0,1319.0,6739.6,62261.988,5943.877755
2016-02-18,0.0022,594.4,87347.5516,372.25,6076.6900000000005,7954.497957,0.0,37473.21,0.0,1335.0,6819.6,59365.151,5583.939798
2016-02-19,0.45599999999999996,579.8,83829.0002,369.5,9443.28,9633.256587,0.0,37325.0,0.0,1358.0,6499.4,58295.0477,6024.390483
2016-02-20,0.0,620.6,82621.9187,373.35,8518.96,8867.517296,0.0,35018.4,0.0,1352.0,6157.5,53133.5763,6244.67748
2016-02-21,0.0283,595.1999999999999,81714.9801,377.35,2861.86,5663.687651,0.0,29273.35,0.0,1348.0,7133.3,54344.2515,6277.1101149999995
2016-02-22,2.3468,609.8,77295.0224,380.06,10356.765,3949.108262,31.799999999999997,41575.432708,0.0,1304.0,7434.1,64058.0847,5621.207856
2016-02-23,0.3956,619.1,81418.0363,356.99,23570.43,2558.5182839999998,258.7,39292.83068,0.0,1274.0,7230.1,56718.9569,5825.631692
2016-02-24,0.4436,624.5,81852.4614,368.64,18908.86,3169.940928,495.86,43747.562279,0.0,1288.0,7332.3,55371.1647,5514.560075
2016-02-25,0.7234999999999999,618.2,82959.6576,371.75,14995.3,6210.310092,364.81,45059.603812,0.0,1306.0,6798.1,54035.0921,6012.260026
2016-02-26,0.7234999999999999,621.6,85502.8312,377.23,2916.136,9891.687562000001,0.0,47907.92312,0.0,1292.0,6946.1,55210.0488,6044.107712
2016-02-27,6.7801,631.6,83689.9184,379.17,4228.417,5230.993483,0.0,41142.520114,0.0,1320.0,7222.3,50706.6125,6331.941881
2016-02-28,8.8835,632.7,79465.5909,374.26,2713.4230000000002,3325.158864,0.0,34984.616159,0.0,1326.0,7672.9,50844.152500000004,6000.73934
2016-02-29,9.9398,619.7,90119.4231,279.45,5782.123,3924.858746,219.9,42495.771091,0.0,1314.0,7506.7,52484.6063,5668.9185290000005
2016-03-01,2.9213,614.5,88064.2741,248.7163,10870.0042,2797.733291,427.83,42784.127855,0.0,1321.0,6329.5,55803.7875,5397.61937
2016-03-02,9.1755,593.4,90003.7346,0.0,9910.2653,2188.443739,569.57,42222.428949,0.0,255.0,6758.2,54233.606700000004,5698.200175
2016-03-03,8.7657,632.1,94044.2116,0.0,7296.4243,3582.154554,338.96,41910.132786,0.0,1308.0,6783.9,53577.2694,5417.877777
2016-03-04,7.3841,631.3,97605.7928,55.082499999999996,6946.284,2936.33543,352.35,42023.939669,0.0,1313.0,7543.3,52891.5394,5512.995907
